longitude,latitude,distance_to_center_km,distance_to_station_km
-74.01299999999996,40.70300000000002,7.4932,0.1368
-74.01249999999996,40.70300000000002,7.4776,0.1373
-74.01199999999996,40.70300000000002,7.4622,0.1502
-74.01149999999996,40.70300000000002,7.447,0.1727
-74.01099999999995,40.70300000000002,7.432,0.2016
-74.01049999999995,40.70300000000002,7.4172,0.2346
-74.00999999999995,40.70300000000002,7.4027,0.2701
-74.00949999999995,40.70300000000002,7.3883,0.3073
-74.00899999999994,40.70300000000002,7.3742,0.3456
-74.00849999999994,40.70300000000002,7.3603,0.3847
-74.00799999999994,40.70300000000002,7.3466,0.4245
-74.00599999999993,40.70300000000002,7.2939,0.4988
-73.99649999999988,40.70300000000002,7.0933,0.6474
-73.99599999999988,40.70300000000002,7.0851,0.6152
-73.99549999999988,40.70300000000002,7.0771,0.5843
-74.01749999999998,40.70350000000002,7.5921,0.3245
-74.01699999999998,40.70350000000002,7.5746,0.2875
-74.01649999999998,40.70350000000002,7.5572,0.2521
-74.01599999999998,40.70350000000002,7.5401,0.2192
-74.01549999999997,40.70350000000002,7.5232,0.1899
-74.01499999999997,40.70350000000002,7.5065,0.1663
-74.01449999999997,40.70350000000002,7.49,0.151
-74.01399999999997,40.70350000000002,7.4737,0.1465
-74.01349999999996,40.70350000000002,7.4575,0.154
-74.01299999999996,40.70350000000002,7.4416,0.1718
-74.01249999999996,40.70350000000002,7.4259,0.1924
-74.01199999999996,40.70350000000002,7.4104,0.2018
-74.01149999999996,40.70350000000002,7.3951,0.2191
-74.01099999999995,40.70350000000002,7.38,0.2425
-74.01049999999995,40.70350000000002,7.3652,0.2705
-74.00999999999995,40.70350000000002,7.3505,0.3018
-74.00949999999995,40.70350000000002,7.336,0.3355
-74.00899999999994,40.70350000000002,7.3218,0.3694
-74.00849999999994,40.70350000000002,7.3078,0.3727
-74.00799999999994,40.70350000000002,7.294,0.3807
-74.00749999999994,40.70350000000002,7.2804,0.3931
-74.00699999999993,40.70350000000002,7.267,0.4095
-74.00649999999993,40.70350000000002,7.2539,0.4294
-74.01749999999998,40.70400000000002,7.5416,0.3035
-74.01699999999998,40.70400000000002,7.524,0.2636
-74.01649999999998,40.70400000000002,7.5065,0.2245
-74.01599999999998,40.70400000000002,7.4893,0.1867
-74.01549999999997,40.70400000000002,7.4723,0.1513
